,filter,central wavelength [Angstrom],bandwidth [Angstrom]
0,4000,4000,25
1,4125,4125,25
2,4250,4250,25
3,4375,4375,25
4,4500,4500,25
5,4625,4625,25
6,4750,4750,25
7,4875,4875,25
8,5000,5000,25
9,5125,5125,25
10,5250,5250,25
11,5375,5375,25
12,5500,5500,25
13,5625,5625,25
14,5750,5750,25
15,5875,5875,25
16,6000,6000,25
17,6125,6125,25
18,6250,6250,25
19,6375,6375,25
20,6500,6500,25
21,6625,6625,25
22,6750,6750,25
23,6875,6875,25
24,7000,7000,25
25,7125,7125,25
26,7250,7250,25
27,7375,7375,25
28,7500,7500,25
29,7625,7625,25
30,7750,7750,25
31,7875,7875,25
32,8000,8000,25
33,8125,8125,25
34,8250,8250,25
35,8375,8375,25
36,8500,8500,25
37,8625,8625,25
38,8750,8750,25
39,8875,8875,25
40,3750,3750,50
41,4250,4250,50
42,u,355,60
43,g,470,160
44,r,625,150
45,i,780,160
46,z,1010,280
